,Distance,Gender,Time,Name,Date,Year
0,400.0,m,47.8,Maxey Long,2000-09-29 00:00:00,1900.75
1,400.0,m,48.2,Charles Reidpath ,2012-07-13 00:00:00,1912.5833333333333
2,400.0,m,47.4,Ted Meredith ,2016-05-27 00:00:00,1916.4166666666667
3,400.0,m,47.0,Bud Spencer ,2028-05-12 00:00:00,1928.4166666666667
4,400.0,m,46.4,Ben Eastman,2032-03-26 00:00:00,1932.25
5,400.0,m,46.2,Bill Carr ,2032-08-05 00:00:00,1932.6666666666667
6,400.0,m,46.1,Archie Williams ,2036-06-19 00:00:00,1936.5
7,400.0,m,46.0,Rudolf Harbig ,2039-08-12 00:00:00,1939.6666666666667
8,400.0,m,46.0,Grover Klemmer ,2041-06-29 00:00:00,1941.5
9,400.0,m,46.0,Herb McKenle,2048-06-05 00:00:00,1948.5
10,400.0,m,45.9,Herb McKenle,2048-07-02 00:00:00,1948.5833333333335
11,400.0,m,45.8,George Rhoden,2050-08-22 00:00:00,1950.6666666666665
12,400.0,m,45.4,Lou Jones ,2055-03-18 00:00:00,1955.25
13,400.0,m,45.2,Lou Jones ,2056-06-30 00:00:00,1956.5
14,400.0,m,44.9,Otis Davis ,2060-09-06 00:00:00,1960.75
15,400.0,m,44.9,Carl Kaufmann ,2060-09-06 00:00:00,1960.75
16,400.0,m,44.9,Adolph Plummer ,2063-05-25 00:00:00,1963.4166666666665
17,400.0,m,44.9,Mike Larrabee ,2064-09-12 00:00:00,1964.75
18,400.0,m,44.5,Tommie Smith ,1967-05-20 00:00:00,1967.4166666666667
19,400.0,m,44.1,Larry James ,1968-09-14 00:00:00,1968.75
20,400.0,m,43.8,Lee Evans ,1968-10-18 00:00:00,1968.8333333333333
21,400.0,m,43.29,Butch Reynolds ,1988-08-17 00:00:00,1988.6666666666667
22,400.0,m,43.18,Michael Johnson ,1999-08-26 00:00:00,1999.6666666666667
