,Distance,Gender,Time,Name,Date,Year
0,5000.0,m,876.60000000000002,Hannes Kolehmainen ,2012-07-10 00:00:00,1912.5833333333333
1,5000.0,m,875.39999999999998,Paavo Nurmi ,2022-09-12 00:00:00,1922.75
2,5000.0,m,868.20000000000005,Paavo Nurmi ,2024-06-19 00:00:00,1924.5
3,5000.0,m,857.0,Lauri Lehtinen ,2032-06-19 00:00:00,1932.5
4,5000.0,m,848.79999999999995,Taisto Mäki ,2039-06-16 00:00:00,1939.5
5,5000.0,m,838.20000000000005,Gunder Hägg,2042-09-20 00:00:00,1942.75
6,5000.0,m,837.20000000000005,Emil Zátopek ,2054-05-30 00:00:00,1954.4166666666665
7,5000.0,m,836.60000000000002,Vladimir Kuts ,2054-08-29 00:00:00,1954.6666666666665
8,5000.0,m,831.60000000000002,Chris Chatawa,2054-10-13 00:00:00,1954.8333333333335
9,5000.0,m,831.20000000000005,Vladimir Kuts ,2054-10-23 00:00:00,1954.8333333333335
10,5000.0,m,830.79999999999995,Sándor Iharos ,2055-09-10 00:00:00,1955.75
11,5000.0,m,826.79999999999995,Vladimir Kuts ,2055-09-18 00:00:00,1955.75
12,5000.0,m,820.60000000000002,Sándor Iharos ,2055-10-23 00:00:00,1955.8333333333335
13,5000.0,m,816.79999999999995,Gordon Pirie ,2056-06-19 00:00:00,1956.5
14,5000.0,m,815.0,Vladimir Kuts ,2057-10-13 00:00:00,1957.8333333333335
15,5000.0,m,814.79999999999995,Ron Clarke ,2065-01-16 00:00:00,1965.0833333333335
16,5000.0,m,813.60000000000002,Ron Clarke ,2065-02-01 00:00:00,1965.1666666666665
17,5000.0,m,805.79999999999995,Ron Clarke ,2065-06-04 00:00:00,1965.5
18,5000.0,m,804.20000000000005,Kipchoge Keino ,2065-11-30 00:00:00,1965.9166666666665
19,5000.0,m,796.60000000000002,Ron Clarke ,1966-07-05 00:00:00,1966.5833333333333
20,5000.0,m,796.39999999999998,Lasse Viren ,1972-09-14 00:00:00,1972.75
21,5000.0,m,793.0,Emiel Puttemans ,1972-09-20 00:00:00,1972.75
22,5000.0,m,792.89999999999998,Dick Quax ,1977-07-05 00:00:00,1977.5833333333333
23,5000.0,m,788.39999999999998,Henry Rono ,1978-04-08 00:00:00,1978.3333333333333
24,5000.0,m,786.20000000000005,Henry Rono ,1981-09-13 00:00:00,1981.75
25,5000.0,m,780.40999999999997,Dave Moorcroft ,1982-07-07 00:00:00,1982.5833333333333
26,5000.0,m,780.39999999999998,Saïd Aouita ,1985-07-27 00:00:00,1985.5833333333333
27,5000.0,m,778.38999999999999,Saïd Aouita ,1987-07-22 00:00:00,1987.5833333333333
28,5000.0,m,776.96000000000004,Haile Gebrselassie ,1994-06-04 00:00:00,1994.5
29,5000.0,m,775.29999999999995,Moses Kiptanui ,1995-06-08 00:00:00,1995.5
30,5000.0,m,764.38999999999999,Haile Gebrselassie ,1995-08-16 00:00:00,1995.6666666666667
31,5000.0,m,761.86000000000001,Haile Gebrselassie ,1997-08-13 00:00:00,1997.6666666666667
32,5000.0,m,759.74000000000001,Daniel Komen ,1997-08-22 00:00:00,1997.6666666666667
33,5000.0,m,759.36000000000001,Haile Gebrselassie ,1998-06-13 00:00:00,1998.5
34,5000.0,m,757.35000000000002,Kenenisa Bekele ,2004-05-31 00:00:00,2004.4166666666667
