,Distance,Gender,Time,Name,Date,Year
0,800.0,m,111.90000000000001,Ted Meredith ,2012-07-08 00:00:00,1912.5833333333333
1,800.0,m,111.59999999999999,Otto Peltzer ,2026-07-03 00:00:00,1926.5833333333333
2,800.0,m,110.59999999999999,Séra Martin ,2028-07-14 00:00:00,1928.5833333333333
3,800.0,m,109.8,Tom Hampson,2032-08-02 00:00:00,1932.6666666666667
4,800.0,m,109.8,Ben Eastman,2034-06-16 00:00:00,1934.5
5,800.0,m,109.7,Glenn Cunningham ,2036-08-20 00:00:00,1936.6666666666667
6,800.0,m,109.59999999999999,Elroy Robinson ,2037-07-11 00:00:00,1937.5833333333333
7,800.0,m,108.40000000000001,Sydney Wooderson,2038-08-20 00:00:00,1938.6666666666667
8,800.0,m,106.59999999999999,Rudolf Harbig ,2039-07-15 00:00:00,1939.5833333333333
9,800.0,m,105.7,Roger Moens,2055-08-03 00:00:00,1955.6666666666665
10,800.0,m,104.3,Peter Snell,2062-02-03 00:00:00,1962.1666666666665
11,800.0,m,104.3,Ralph Doubell ,1968-10-15 00:00:00,1968.8333333333333
12,800.0,m,104.3,Dave Wottle,1972-07-01 00:00:00,1972.5833333333333
13,800.0,m,103.7,Marcello Fiasconaro ,1973-06-27 00:00:00,1973.5
14,800.0,m,103.5,Alberto Juantorena ,1976-07-25 00:00:00,1976.5833333333333
15,800.0,m,103.40000000000001,Alberto Juantorena ,1977-08-21 00:00:00,1977.6666666666667
16,800.0,m,102.40000000000001,Sebastian Coe,1979-07-05 00:00:00,1979.5833333333333
17,800.0,m,101.72999999999999,Sebastian Coe,1981-06-10 00:00:00,1981.5
18,800.0,m,101.72999999999999,Wilson Kipketer ,1997-07-07 00:00:00,1997.5833333333333
19,800.0,m,101.24000000000001,Wilson Kipketer ,1997-08-13 00:00:00,1997.6666666666667
20,800.0,m,101.11,Wilson Kipketer ,1997-08-24 00:00:00,1997.6666666666667
21,800.0,m,101.09,David Rudisha,2010-08-22 00:00:00,2010.6666666666667
22,800.0,m,101.00999999999999,David Rudisha,2010-08-29 00:00:00,2010.6666666666667
23,800.0,m,100.91,David Rudisha,2012-08-09 00:00:00,2012.6666666666667
