,Distance,Gender,Time,Name,Date,Year
0,100.0,f,13.6,Marie Mejzlíková II ,2022-08-05 00:00:00,1922.6666666666667
1,100.0,f,12.8,Mary Lines,2022-08-20 00:00:00,1922.6666666666667
2,100.0,f,12.4,Gundel Wittmann ,2026-08-22 00:00:00,1926.6666666666667
3,100.0,f,12.2,Kinue Hitomi ,2028-05-20 00:00:00,1928.4166666666667
4,100.0,f,12.0,Myrtle Cook ,2028-07-02 00:00:00,1928.5833333333333
5,100.0,f,12.0,Tollien Schuurman ,2030-08-31 00:00:00,1930.6666666666667
6,100.0,f,11.9,Tollien Schuurman ,2032-06-05 00:00:00,1932.5
7,100.0,f,11.9,Stanisawa Walasiewicz ,2032-08-01 00:00:00,1932.6666666666667
8,100.0,f,11.8,Stanisawa Walasiewicz ,2033-09-17 00:00:00,1933.75
9,100.0,f,11.7,Stanisawa Walasiewicz ,2034-08-26 00:00:00,1934.6666666666667
10,100.0,f,11.6,Helen Stephens,2035-06-08 00:00:00,1935.5
11,100.0,f,11.6,Stanisawa Walasiewicz ,2037-08-01 00:00:00,1937.6666666666667
12,100.0,f,11.5,Fanny Blankers-Koen ,2048-06-13 00:00:00,1948.5
13,100.0,f,11.5,Marjorie Jackson ,2052-07-22 00:00:00,1952.5833333333335
14,100.0,f,11.4,Marjorie Jackson ,2052-10-04 00:00:00,1952.8333333333335
15,100.0,f,11.3,Shirley Strickland ,2055-08-04 00:00:00,1955.6666666666665
16,100.0,f,11.3,Vera Krepkina ,2058-09-13 00:00:00,1958.75
17,100.0,f,11.3,Wilma Rudolph ,2060-09-02 00:00:00,1960.75
18,100.0,f,11.2,Wilma Rudolph ,2061-07-19 00:00:00,1961.5833333333335
19,100.0,f,11.2,Wyomia Tyus ,2064-10-15 00:00:00,1964.8333333333335
20,100.0,f,11.1,Irena Kirszenstein ,2065-07-09 00:00:00,1965.5833333333335
21,100.0,f,11.1,Wyomia Tyus ,2065-07-31 00:00:00,1965.5833333333335
22,100.0,f,11.1,Barbara Ferrell ,1967-07-02 00:00:00,1967.5833333333333
23,100.0,f,11.1,Lyudmila Samotyosova ,1968-08-15 00:00:00,1968.6666666666667
24,100.0,f,11.1,Irena Szewiska ,1968-10-14 00:00:00,1968.8333333333333
25,100.0,f,11.0,1.2 11.08/adjusted from 11.07 Wyomia Tyus ,1968-10-15 00:00:00,1968.8333333333333
26,100.0,f,11.0,Chi Cheng ,1970-07-18 00:00:00,1970.5833333333333
27,100.0,f,11.0,Renate Meissner ,1970-08-02 00:00:00,1970.6666666666667
28,100.0,f,11.0,Renate Meissner/Stecher ,1971-07-31 00:00:00,1971.5833333333333
29,100.0,f,11.0,Renate Stecher ,1972-06-03 00:00:00,1972.5
30,100.0,f,11.0,Ellen Stropahl ,1972-06-15 00:00:00,1972.5
31,100.0,f,11.0,Eva Glesková ,1972-07-01 00:00:00,1972.5833333333333
32,100.0,f,10.9,Renate Stecher ,1973-06-07 00:00:00,1973.5
33,100.0,f,10.8,Renate Stecher ,1973-07-20 00:00:00,1973.5833333333333
34,100.0,f,11.07,Renate Stecher ,1972-09-02 00:00:00,1972.75
35,100.0,f,11.04,Inge Helten ,1976-06-13 00:00:00,1976.5
36,100.0,f,11.01,Annegret Richter ,1976-07-25 00:00:00,1976.5833333333333
37,100.0,f,10.88,Marlies Oelsner/Göhr ,1977-07-01 00:00:00,1977.5833333333333
38,100.0,f,10.88,Marlies Göhr ,1982-07-09 00:00:00,1982.5833333333333
39,100.0,f,10.81,Marlies Göhr ,1983-06-08 00:00:00,1983.5
40,100.0,f,10.79,Evelyn Ashford ,1983-07-03 00:00:00,1983.5833333333333
41,100.0,f,10.76,Evelyn Ashford ,1984-08-22 00:00:00,1984.6666666666667
42,100.0,f,10.49,Florence Griffith Joyner,1988-07-16 00:00:00,1988.5833333333333
